Time (s),X (hPa)
1654620268582372096,1011.102905
1654620269583217152,1011.102905
1654620270585399040,1011.086655
1654620271587207168,1011.079559
1654620272589363200,1011.025009
1654620273591010048,1011.003036
1654620274593854208,1010.968475
1654620275595103232,1010.956955
1654620276596974080,1010.956955
1654620277598850048,1010.964737
1654620278600506112,1010.980225
1654620279602324224,1010.980225
1654620280604257024,1010.961838
1654620281606034176,1010.940247
1654620282607910144,1010.917053
1654620283609556224,1010.883102
1654620284611251968,1010.870819
1654620285612918016,1010.870819
1654620286615344384,1010.882721
1654620287616347904,1010.932693
1654620288618365952,1010.969772
1654620289619763200,1010.977554
1654620290621766144,1010.979843
1654620291623545088,1010.981979
1654620292625085952,1010.981979
1654620293627333120,1010.971375
1654620294628560128,1010.968018
1654620295630712064,1010.968018
1654620296631981056,1011.0112
1654620297633920256,1011.036072
1654620298635769088,1011.071091
1654620299637521152,1011.085281
1654620300639192064,1011.085281
1654620301640969216,1011.067505
1654620302642771200,1011.060333
1654620303644540160,1011.021347
﻿Time (s),X (hPa)
1654620304098459648,1011.177216
1654620305100439808,1011.194611
1654620306102288640,1011.212082
1654620307104046848,1011.232834
1654620308105870848,1011.255798
1654620309107594752,1011.261597
1654620309657296640,1011.279526
1654620310658943744,1011.292953
1654620311660805632,1011.304321
1654620312662879744,1011.311569
1654620313664694784,1011.319122
1654620314666569728,1011.320038
1654620315668144640,1011.320038
1654620316669996800,1011.316528
1654620317671715840,1011.316528
1654620318674082816,1011.321869
1654620319675003648,1011.322479
1654620320677038592,1011.323776
1654620321678856960,1011.324844
1654620322680308736,1011.329803
1654620323682167808,1011.32988
1654620324684082688,1011.331329
1654620325685863680,1011.331482
1654620326687468800,1011.331329
1654620327689111808,1011.326065
1654620328691021568,1011.319809
1654620329693108736,1011.315002
1654620330694931712,1011.31073
1654620331696721920,1011.305771
1654620332698702848,1011.305313
1654620333700254720,1011.304855
1654620334701933568,1011.300659
1654620335703872768,1011.29715
1654620336705590784,1011.29715
1654620337707374848,1011.293869
1654620338709056768,1011.290817
1654620339710632704,1011.290817
1654620340712525824,1011.290817
1654620341714702848,1011.290817
1654620342717229824,1011.290588
1654620343718026752,1011.290588
1654620344719892736,1011.291199
1654620345721626880,1011.291885
1654620346723717632,1011.291885
1654620347725704704,1011.29364
1654620348727142912,1011.2957
1654620349728846848,1011.298599
1654620350730659840,1011.30188
1654620351732538624,1011.302032
1654620352734280704,1011.302032
1654620353736491776,1011.301117
1654620354738249728,1011.29715
1654620355739920896,1011.293716
1654620356742013696,1011.293488
1654620357743676672,1011.29097
1654620358745180928,1011.288986
1654620359746823680,1011.288071
1654620360748714752,1011.288071
1654620361750415872,1011.288071
1654620362752173568,1011.292725
1654620363754008832,1011.297913
1654620364756575744,1011.301041
1654620365757917696,1011.302643
1654620366759650816,1011.304092
1654620367761223680,1011.304092
1654620368762968832,1011.30394
1654620369764649728,1011.30394
1654620370766352640,1011.30394
1654620371767986688,1011.303101
1654620372769806592,1011.302338
1654620373771487744,1011.299973
1654620374773365760,1011.298294
1654620375775246848,1011.298294
1654620376777078528,1011.301193
1654620377778994688,1011.305923
1654620378780799744,1011.313019
1654620379782604800,1011.319656
1654620380784346880,1011.325607
1654620381786568704,1011.331329
1654620382788423680,1011.331329
