Time (s),X (µT),Y (µT),Z (µT)
1654618516964066816,-28.69889069,-45.06812286,-15.38830566
1654618516973998848,-27.6228714,-45.66080475,-15.24731445
1654618516983930624,-26.29917145,-45.95285797,-15.96246338
1654618516993862656,-25.09284973,-46.38928986,-14.70611572
1654618517003794688,-24.07881165,-47.11685944,-13.33349609
1654618517013726720,-22.48912811,-47.18889618,-11.26025391
1654618517023658752,-20.88114166,-47.68514252,-10.09051514
1654618517033590528,-18.88388062,-48.04306793,-8.044189453
1654618517043522560,-17.1435318,-48.19139862,-6.252868652
1654618517053453568,-15.40570831,-48.68071747,-4.593505859
1654618517063385600,-13.85319519,-48.52722931,-3.293823242
1654618517073317888,-12.5943985,-48.52605438,-1.16784668
1654618517083249664,-11.31324768,-48.30289459,0.357666016
1654618517093181696,-9.787879944,-47.56499481,2.915771484
1654618517103113728,-8.573860168,-47.02068329,5.250488281
1654618517113045760,-6.906509399,-45.96389008,7.781616211
1654618517122977792,-5.281143188,-45.30864716,8.867248535
1654618517132909824,-3.658950806,-44.49549103,9.653747559
1654618517142841600,-2.407928467,-44.26422882,10.03918457
1654618517152772608,-1.425491333,-43.76587677,10.76147461
1654618517162704640,-0.248580933,-43.36013031,10.8548584
1654618517172636672,0.207626343,-43.48722076,11.53137207
1654618517182568704,0.693405151,-42.89156342,11.64544678
1654618517192500480,0.90234375,-42.42768097,12.13061523
1654618517202432512,0.851806641,-42.17099762,12.82415771
1654618517212364800,0.213897705,-41.64277649,13.80627441
1654618517222296832,-0.441253662,-41.40593719,14.46148682
1654618517232228864,-1.231445312,-40.72989655,15.6739502
1654618517242160640,-1.862243652,-40.20341492,15.88543701
1654618517252092672,-2.936386108,-40.16836548,16.97344971
1654618517262023680,-3.83140564,-39.77252197,17.3762207
1654618517271955712,-4.505187988,-39.55608368,17.28161621
1654618517281887744,-5.277923584,-39.59329987,17.25592041
1654618517291819520,-6.078231812,-39.51927948,18.06072998
1654618517301751552,-6.793334961,-39.69261169,18.02197266
1654618517311683584,-7.533432007,-39.26016998,18.09338379
1654618517321615616,-8.215515137,-39.43605042,18.19506836
1654618517331547648,-9.123252869,-39.28611755,18.07611084
1654618517341479680,-9.414466858,-39.16290283,17.92150879
1654618517351411456,-10.12407684,-39.11953735,17.67987061
1654618517361342720,-10.47097015,-39.31938934,17.3237915
1654618517371274752,-11.23369598,-39.44750214,17.57641602
1654618517381207040,-11.48384857,-39.77440643,16.27966309
1654618517391139072,-12.04722595,-40.26422882,15.84985352
1654618517401071104,-12.47362518,-41.42520142,14.23461914
1654618517411003136,-12.79251862,-42.08757782,13.30236816
1654618517420935168,-12.60544586,-42.88809967,11.9631958
1654618517430866944,-12.78014374,-43.13419342,11.54248047
1654618517440798976,-13.0214386,-43.70137787,11.06384277
1654618517450731008,-13.62599945,-43.71938324,11.23382568
1654618517460663040,-14.07090759,-43.70709991,10.91589355
1654618517470594048,-14.91736603,-43.66683197,10.18933105
1654618517480526080,-16.12049103,-43.6268692,9.451293945
1654618517490458112,-17.00559998,-43.77387238,9.241455078
1654618517500390144,-18.08184814,-44.3642807,8.40447998
1654618517510322176,-18.59713745,-44.62345123,7.130249023
1654618517520254208,-19.25514984,-45.69368744,5.047546387
1654618517530185984,-19.45940399,-46.3864975,3.28503418
1654618517540118016,-19.13450623,-47.11145782,1.234985352
1654618517550050048,-18.75488281,-47.58499908,-0.08984375
1654618517559982080,-18.27932739,-47.57910919,-1.763549805
