Time (s),X (rad/s),Y (rad/s),Z (rad/s)
1654618638673485568,-0.082675859,-0.367409855,-1.298095345
1654618638683416320,-0.027011529,-0.226357371,-1.485245347
1654618638693347328,-0.034095403,-0.115748353,-1.715762258
1654618638703279616,-0.144421101,0.00193167,-1.807441115
1654618638713210368,-0.267540604,-0.081577316,-1.689594507
1654618638723142400,-0.36887309,-0.153360695,-1.463842034
1654618638733073408,-0.461795211,-0.226837143,-1.378597379
1654618638743004416,-0.526348114,-0.314931035,-1.406821012
1654618638752936448,-0.547343075,-0.395197153,-1.455214858
1654618638762867456,-0.571321368,-0.411931396,-1.529683709
1654618638772799488,-0.708826304,-0.454408974,-1.764318585
1654618638782730240,-0.730457246,-0.366835177,-2.020288229
1654618638792661504,-0.752574861,-0.27008459,-2.074017763
1654618638802593536,-0.735657096,-0.189553261,-2.114499092
1654618638812524288,-0.672576428,-0.162821263,-2.1916852
1654618638822456320,-0.643420696,-0.253304005,-2.282371998
1654618638832387328,-0.717548132,-0.395841628,-2.333022118
1654618638842318336,-0.886054277,-0.556762099,-2.34477973
1654618638852250368,-1.067064762,-0.68548137,-2.354283094
1654618638862181376,-1.116874099,-0.97185272,-2.32737422
1654618638872113408,-1.057478189,-1.002255797,-2.268916368
1654618638882044416,-0.9309991,-0.938224077,-2.18116188
1654618638891975424,-0.810651898,-0.877854049,-2.05476737
1654618638901907456,-0.70674628,-0.685198307,-1.937329531
1654618638911838208,-0.603237331,-0.421289414,-1.854313731
1654618638921770240,-0.500981569,-0.264877975,-1.743066192
1654618638931701504,-0.403971344,-0.147355795,-1.698444366
1654618638941633536,-0.206813008,-0.17441085,-1.55629015
1654618638951564288,0.022735108,-0.246257395,-1.297900558
1654618638961495296,0.136737302,-0.293495208,-1.030344725
1654618638971427328,0.124179028,-0.101441696,-0.773866892
1654618638981358336,0.095476277,0.178652003,-0.556343854
1654618638991290368,0.212625057,0.238082647,-0.318037927
1654618639001221376,0.385447443,0.193551138,-0.094484739
1654618639011152384,0.477270424,0.278802156,0.08941108
1654618639021084416,0.516533613,0.373543054,0.208191529
1654618639031015424,0.583300114,0.503972113,0.349553198
1654618639040947456,0.604105532,0.498984307,0.51614213
1654618639050878208,0.580036581,0.440292805,0.725743115
1654618639060809472,0.553175688,0.395223051,0.921961069
1654618639070741504,0.494527102,0.420202345,1.12851727
1654618639080672512,0.497473896,0.559469402,1.355368733
1654618639090604288,0.514204562,0.743665457,1.536218882
1654618639100535296,0.587726712,0.890632033,1.650760055
1654618639110466560,0.639707625,0.979165852,1.731447697
1654618639120398336,0.693661928,1.010961652,1.793236852
1654618639130329344,0.712552905,1.203152537,1.899740338
1654618639140261376,0.665826142,1.461786747,2.023548841
1654618639150192384,0.648079932,1.570860863,2.046774149
1654618639160123392,0.607151926,1.500269771,1.921944618
1654618639170055424,0.540119112,1.249378324,1.77402997
1654618639179986432,0.430612832,1.028488517,1.751497746
1654618639189918464,0.304039776,0.917665422,1.846433759
1654618639199849472,0.213846758,0.752747595,1.978836536
1654618639209780480,0.21197401,0.595972776,2.117948294
1654618639219712512,0.215362608,0.550720871,2.27795577
1654618639229643264,0.210349694,0.465570718,2.444587708
1654618639239575296,0.260647208,0.323168844,2.575176001
1654618639249506560,0.242864355,0.06979923,2.73301506
1654618639259437312,0.15403302,0.077278197,2.880245686
1654618639269369344,0.081951931,0.096008644,3.007111549
1654618639279300352,0.007332294,-0.018423127,3.105154037
1654618639289232384,-0.000516403,-0.003146712,3.112924099
1654618639299163392,-0.072000712,0.274552822,3.181540966
1654618639309094400,-0.045399051,0.15702346,3.197186708
1654618639319026432,0.020703003,0.136410862,3.218763351
1654618639328957440,0.04758976,-0.259342581,2.939857006
1654618639338889472,0.056233849,-0.558368385,2.640268803
1654618639348820480,0.038019624,-0.629340947,2.285754919
1654618639358751232,-0.039149728,-0.691692472,1.926081896
1654618639368683264,-0.159668267,-0.756328642,1.663282633
1654618639378614528,-0.134194598,-0.807596624,1.241979837
1654618639388546560,-0.003671303,-0.878976166,0.804138005
1654618639398477312,0.061805174,-0.776457787,0.466943771
1654618639408408320,-0.006347841,-0.664563358,0.192169085
1654618639418340352,-0.091850758,-0.617757022,-0.099948525
1654618639428271360,-0.133156419,-0.513444662,-0.351605356
1654618639438203392,-0.090568468,-0.316937983,-0.514560938
1654618639448134400,-0.016927961,-0.166728199,-0.627660334
1654618639458065408,-0.009174168,-0.021570204,-0.690462232
1654618639467997440,-0.056792222,0.070686176,-0.730972529
1654618639477928448,-0.131007329,0.107648194,-0.774264872
1654618639487860480,-0.22333768,0.155375674,-0.830133259
1654618639497791232,-0.245661095,0.109526701,-0.879085839
1654618639507722496,-0.227479324,0.022533104,-0.910465777
1654618639517654528,-0.202300727,0.018930646,-0.924954712
1654618639527585536,-0.175255805,0.104986027,-0.908232153
1654618639537517056,-0.155555606,0.210462108,-0.874532282
1654618639547448064,-0.160443381,0.278018802,-0.852521241
